Title (w/ year),Country,Language,Release_Date
"Heaven Knows, Mr. Allison (1957) ","
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: 13 March 1957 (USA)
    
See more »
    
"
Seven Days from Now (1957) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 28 May 1957 (Portugal)
    
See more »
    
"
The Incredible Shrinking Man (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 May 1957 (France)
    
See more »
    
"
Pyaasa (1957) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 19 February 1957 (India)
    
See more »
    
"
The Seventh Seal (1957) ,"
Country:
Sweden
","
Language:
Swedish
|
Latin
","
Release Date: 13 October 1958 (USA)
    
See more »
    
"
The Undead (1957) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 15 March 1957 (USA)
    
See more »
    
"
The True Story of Jesse James (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: March 1957 (UK)
    
See more »
    
"
Not of This Earth (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 February 1957 (USA)
    
See more »
    
"
Attack of the Crab Monsters (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 10 February 1957 (USA)
    
See more »
    
"
The Wings of Eagles (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 February 1957 (USA)
    
See more »
    
"
Night Ambush (1957) ,"
Country:
UK
","
Language:
English
|
Greek
|
German
","
Release Date: July 1958 (USA)
    
See more »
    
"
Men in War (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 January 1957 (USA)
    
See more »
    
"
Throne of Blood (1957) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 22 November 1961 (USA)
    
See more »
    
"
Edge of the City (1957) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 January 1957 (USA)
    
See more »
    
"
Dvenadtsat mesyatsev (1956) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 1956 (Soviet Union)
    
See more »
    
"
The Violent Years (1956) ,"
Country:
USA
","
Language:
English
", ~data not found~ 
Three Violent People (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1956 (USA)
    
See more »
    
"
Carnival in Moscow (1956) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 29 December 1956 (Soviet Union)
    
See more »
    
"
Crime of Passion (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 November 1957 (Finland)
    
See more »
    
"
Rodan (1956) ,"
Country:
Japan
","
Language:
Japanese
|
Mandarin
|
Tagalog
","
Release Date: 6 August 1957 (USA)
    
See more »
    
"
The Wrong Man (1956) ,"
Country:
USA
","
Language:
English
|
Italian
|
Spanish
","
Release Date: 26 January 1957 (USA)
    
See more »
    
"
The King and Four Queens (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 December 1956 (USA)
    
See more »
    
"
Hollywood or Bust (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 24 December 1956 (UK)
    
See more »
    
"
The Hunchback of Notre Dame (1956) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 3 November 1957 (USA)
    
See more »
    
"
Sissi - Die junge Kaiserin (1956) ,"
Country:
Austria
","
Language:
German
|
Hungarian
","
Release Date: December 1956 (Austria)
    
See more »
    
"
Baby Doll (1956) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 29 December 1956 (USA)
    
See more »
    
"
The Rainmaker (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 December 1956 (USA)
    
See more »
    
"
Anastasia (1956) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 13 December 1956 (USA)
    
See more »
    
"
7th Cavalry (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1956 (USA)
    
See more »
    
"
The Girl Can't Help It (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 December 1956 (USA)
    
See more »
    
"
The Teahouse of the August Moon (1956) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: December 1956 (USA)
    
See more »
    
"
...And God Created Woman (1956) ,"
Country:
France
|
Italy
","
Language:
French
|
English
","
Release Date: 21 October 1957 (USA)
    
See more »
    
"
Vesna na Zarechnoy ulitse (1956) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 9 May 1957 (Hungary)
    
See more »
    
"
The Mole People (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1956 (USA)
    
See more »
    
"
Love Me Tender (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 November 1956 (USA)
    
See more »
    
"
A Man Escaped (1956) ,"
Country:
France
","
Language:
French
|
German
","
Release Date: 26 August 1957 (USA)
    
See more »
    
"
Nightfall (1956) ,"
Country:
USA
","
Language:
English
|
Spanish
|
Italian
","
Release Date: 9 November 1956 (UK)
    
See more »
    
"
X the Unknown (1956) ,"
Country:
UK
","
Language:
English
","
Release Date: May 1957 (USA)
    
See more »
    
"
The Rack (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 2 November 1956 (USA)
    
See more »
    
"
Pursuit of the Graf Spee (1956) ,"
Country:
UK
","
Language:
English
|
German
|
Spanish
","
Release Date: November 1957 (USA)
    
See more »
    
"
The Opposite Sex (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 April 1957 (Sweden)
    
See more »
    
"
Main Street (1956) ,"
Country:
Spain
|
France
","
Language:
Spanish
","
Release Date: 10 March 1958 (USA)
    
See more »
    
"
Friendly Persuasion (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 November 1956 (USA)
    
See more »
    
"
Julie (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 October 1956 (USA)
    
See more »
    
"
Around the World in 80 Days (1956) ,"
Country:
USA
","
Language:
English
|
Spanish
|
French
","
Release Date: 17 October 1956 (USA)
    
See more »
    
"
The Forty-First (1956) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 15 October 1956 (Soviet Union)
    
See more »
    
"
Between Heaven and Hell (1956) ,"
Country:
USA
","
Language:
English
|
Japanese
","
Release Date: December 1956 (UK)
    
See more »
    
"
Aparajito (1956) ,"
Country:
India
","
Language:
Bengali
","
Release Date: 11 October 1956 (India)
    
See more »
    
"
Giant (1956) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 24 November 1956 (USA)
    
See more »
    
"
The Ten Commandments (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1956 (USA)
    
See more »
    
"
Written on the Wind (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1956 (USA)
    
See more »
    
"
Tea and Sympathy (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 November 1956 (France)
    
See more »
    
"
Death in the Garden (1956) ,"
Country:
France
|
Mexico
","
Language:
French
","
Release Date: 21 September 1956 (France)
    
See more »
    
"
The Last Wagon (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 September 1956 (USA)
    
See more »
    
"
The Green Man (1956) ,"
Country:
UK
","
Language:
English
","
Release Date: 21 December 1956 (France)
    
See more »
    
"
Beyond a Reasonable Doubt (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: November 1956 (UK)
    
See more »
    
"
Elena and Her Men (1956) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 12 September 1956 (France)
    
See more »
    
"
The Bad Seed (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 September 1956 (USA)
    
See more »
    
"
Four Bags Full (1956) ,"
Country:
France
|
Italy
","
Language:
French
|
German
","
Release Date: 26 October 1956 (France)
    
See more »
    
"
Back from Eternity (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 February 1957 (West Germany)
    
See more »
    
"
Attack (1956) ,"
Country:
USA
","
Language:
English
|
German
|
French
","
Release Date: 17 October 1956 (USA)
    
See more »
    
"
The She-Creature (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: August 1956 (USA)
    
See more »
    
"
Bus Stop (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 20 September 1956 (Argentina)
    
See more »
    
"
The Beast of Hollow Mountain (1956) ,"
Country:
Mexico
|
USA
","
Language:
English
|
Spanish
","
Release Date: August 1956 (USA)
    
See more »
    
"
Bob le Flambeur (1956) ,"
Country:
France
","
Language:
French
|
English
","
Release Date: 1959 (USA)
    
See more »
    
"
"Totò, Peppino e la... malafemmina (1956) ","
Country:
Italy
","
Language:
Italian
","
Release Date: 16 June 1957 (Portugal)
    
See more »
    
"
The Solid Gold Cadillac (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 August 1956 (USA)
    
See more »
    
"
War and Peace (1956) ,"
Country:
USA
|
Italy
","
Language:
English
|
Italian
|
Russian
","
Release Date: 21 August 1956 (USA)
    
See more »
    
"
Lust for Life (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: November 1956 (Australia)
    
See more »
    
"
The Captain from Köpenick (1956) ,"
Country:
West Germany
","
Language:
German
","
Release Date: 16 August 1956 (West Germany)
    
See more »
    
"
Away All Boats (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 16 August 1956 (USA)
    
See more »
    
"
Gervaise (1956) ,"
Country:
France
","
Language:
French
","
Release Date: 11 November 1957 (USA)
    
See more »
    
"
Bigger Than Life (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1956 (West Germany)
    
See more »
    
"
The Werewolf (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1956 (USA)
    
See more »
    
"
Earth vs. the Flying Saucers (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: July 1956 (USA)
    
See more »
    
"
Fire Maidens of Outer Space (1956) ,"
Country:
UK
","
Language:
English
","
Release Date: 6 September 1956 (USA)
    
See more »
    
"
Run for the Sun (1956) ,"
Country:
USA
|
Mexico
","
Language:
English
|
Spanish
","
Release Date: 30 July 1956 (USA)
    
See more »
    
"
Davy Crockett and the River Pirates (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 18 July 1956 (USA)
    
See more »
    
"
High Society (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 July 1956 (USA)
    
See more »
    
"
7 Men from Now (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 August 1956 (USA)
    
See more »
    
"
It Conquered the World (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 July 1956 (USA)
    
See more »
    
"
Kurutta kajitsu (1956) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 12 July 1956 (Japan)
    
See more »
    
"
Reach for the Sky (1956) ,"
Country:
UK
","
Language:
English
|
French
|
German
","
Release Date: 27 July 1956 (Ireland)
    
See more »
    
"
Somebody Up There Likes Me (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 4 July 1956 (USA)
    
See more »
    
"
The Black Sleep (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: June 1956 (USA)
    
See more »
    
"
Autumn Leaves (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 8 October 1956 (Italy)
    
See more »
    
"
The King and I (1956) ,"
Country:
USA
","
Language:
English
|
Thai
","
Release Date: 29 June 1956 (USA)
    
See more »
    
"
Moby Dick (1956) ,"
Country:
UK
","
Language:
English
","
Release Date: 27 January 1957 (UK)
    
See more »
    
"
Pardners (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 August 1956 (USA)
    
See more »
    
"
The Fastest Gun Alive (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 July 1956 (USA)
    
See more »
    
"
Gunslinger (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 1956 (USA)
    
See more »
    
"
The Proud Ones (1956) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: May 1956 (USA)
    
See more »
    
"
The Mountain (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: November 1956 (USA)
    
See more »
    
"
Trapeze (1956) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 30 May 1956 (USA)
    
See more »
    
"
The Catered Affair (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 June 1956 (USA)
    
See more »
    
"
D-Day the Sixth of June (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 May 1956 (USA)
    
See more »
    
"
Storm Center (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 31 July 1956 (USA)
    
See more »
    
"
Crime in the Streets (1956) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 10 June 1956 (USA)
    
See more »
    
"
The Killing (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 June 1956 (USA)
    
See more »
    
"
23 Paces to Baker Street (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 1956 (UK)
    
See more »
    
"
The Searchers (1956) ,"
Country:
USA
","
Language:
English
|
Navajo
|
Spanish
","
Release Date: 26 May 1956 (USA)
    
See more »
    
"
The Eddy Duchin Story (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 June 1956 (USA)
    
See more »
    
"
Bhowani Junction (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 May 1956 (USA)
    
See more »
    
"
The Man Who Knew Too Much (1956) ,"
Country:
USA
","
Language:
English
|
Arabic
|
French
","
Release Date: 1 June 1956 (USA)
    
See more »
    
"
Godzilla: King of the Monsters! (1956) ,"
Country:
USA
|
Japan
","
Language:
English
|
Japanese
","
Release Date: 27 April 1956 (USA)
    
See more »
    
"
The Creature Walks Among Us (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 April 1956 (USA)
    
See more »
    
"
A Kiss Before Dying (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 June 1956 (USA)
    
See more »
    
"
While the City Sleeps (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 May 1956 (USA)
    
See more »
    
"
The Last Hunt (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 19 April 1956 (UK)
    
See more »
    
"
The Swan (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 April 1956 (USA)
    
See more »
    
"
Deadlier Than the Male (1956) ,"
Country:
France
","
Language:
French
","
Release Date: 13 April 1956 (France)
    
See more »
    
"
The Man in the Gray Flannel Suit (1956) ,"
Country:
USA
","
Language:
English
|
Italian
|
German
","
Release Date: 8 May 1956 (USA)
    
See more »
    
"
La banda degli onesti (1956) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 12 April 1956 (Italy)
    
See more »
    
"
Swamp Women (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 October 1956 (West Germany)
    
See more »
    
"
Miracle in the Rain (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1956 (USA)
    
See more »
    
"
Tribute to a Bad Man (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: April 1956 (USA)
    
See more »
    
"
The Harder They Fall (1956) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 31 March 1956 (USA)
    
See more »
    
"
Patterns (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 26 October 1956 (West Germany)
    
See more »
    
"
World Without End (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 March 1956 (USA)
    
See more »
    
"
Indestructible Man (1956) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 March 1956 (USA)
    
See more »
    
"
Forbidden Planet (1956) ,"
Country:
USA
|
Japan
","
Language:
English
","
Release Date: 13 June 1958 (USA)
    
See more »
    
"
